# x_m,y_m,w_tr_right_m,w_tr_left_m
-5.0040,-1.8600,0.7089,0.7089
-5.0040,-1.8720,0.7084,0.7084
-4.9920,-1.8840,0.7201,0.7201
-4.9920,-1.8960,0.7200,0.7200
-4.9920,-1.9080,0.7200,0.7200
-4.9920,-1.9200,0.7200,0.7200
-4.9920,-1.9320,0.7200,0.7200
-4.9920,-1.9440,0.7200,0.7200
-4.9920,-1.9560,0.7200,0.7200
-4.9800,-1.9680,0.7320,0.7320
-4.9800,-1.9800,0.7320,0.7320
-4.9800,-1.9920,0.7320,0.7320
-4.9800,-2.0040,0.7320,0.7320
-4.9680,-2.0160,0.7438,0.7438
-4.9680,-2.0280,0.7418,0.7418
-4.9560,-2.0400,0.7518,0.7518
-4.9560,-2.0520,0.7502,0.7502
-4.9560,-2.0640,0.7487,0.7487
-4.9440,-2.0760,0.7594,0.7594
-4.9440,-2.0880,0.7584,0.7584
-4.9440,-2.1000,0.7575,0.7575
-4.9320,-2.1120,0.7688,0.7688
-4.9200,-2.1240,0.7804,0.7804
-4.9200,-2.1360,0.7801,0.7801
-4.9200,-2.1480,0.7800,0.7800
-4.9080,-2.1600,0.7920,0.7920
-4.9080,-2.1720,0.7920,0.7920
-4.9080,-2.1840,0.7920,0.7920
-4.9080,-2.1960,0.7920,0.7920
-4.8960,-2.2080,0.8040,0.8040
-4.8960,-2.2200,0.8040,0.8040
-4.8960,-2.2320,0.8040,0.8040
-4.8840,-2.2440,0.8161,0.8161
-4.8840,-2.2560,0.8160,0.8160
-4.8840,-2.2680,0.8160,0.8160
-4.8720,-2.2800,0.8266,0.8266
-4.8720,-2.2920,0.8248,0.8248
-4.8720,-2.3040,0.8231,0.8231
-4.8600,-2.3160,0.8335,0.8335
-4.8480,-2.3280,0.8426,0.8426
-4.8360,-2.3400,0.8482,0.8482
-4.8360,-2.3520,0.8432,0.8432
-4.8240,-2.3640,0.8493,0.8493
-4.8120,-2.3760,0.8557,0.8557
-4.8120,-2.3880,0.8512,0.8512
-4.8000,-2.4000,0.8581,0.8581
-4.7880,-2.4120,0.8653,0.8653
-4.7760,-2.4240,0.8653,0.8653
-4.7760,-2.4360,0.8691,0.8691
-4.7640,-2.4480,0.8691,0.8691
-4.7640,-2.4600,0.8728,0.8728
-4.7520,-2.4720,0.8736,0.8736
-4.7520,-2.4840,0.8770,0.8770
-4.7400,-2.4960,0.8790,0.8790
-4.7280,-2.5080,0.8773,0.8773
-4.7160,-2.5200,0.8760,0.8760
-4.7160,-2.5320,0.8825,0.8825
-4.7040,-2.5440,0.8825,0.8825
-4.6920,-2.5560,0.8826,0.8826
-4.6800,-2.5680,0.8825,0.8825
-4.6680,-2.5800,0.8825,0.8825
-4.6560,-2.5920,0.8825,0.8825
-4.6440,-2.6040,0.8825,0.8825
-4.6320,-2.6160,0.8825,0.8825
-4.6200,-2.6280,0.8825,0.8825
-4.6080,-2.6400,0.8825,0.8825
-4.5960,-2.6520,0.8825,0.8825
-4.5840,-2.6640,0.8825,0.8825
-4.5840,-2.6760,0.8809,0.8809
-4.5720,-2.6880,0.8832,0.8832
-4.5600,-2.7000,0.8851,0.8851
-4.5480,-2.7120,0.8865,0.8865
-4.5360,-2.7240,0.8883,0.8883
-4.5240,-2.7360,0.8904,0.8904
-4.5120,-2.7480,0.8929,0.8929
-4.5000,-2.7600,0.8956,0.8956
-4.4880,-2.7720,0.8986,0.8986
-4.4760,-2.7720,0.8956,0.8956
-4.4640,-2.7840,0.8978,0.8978
-4.4520,-2.7960,0.9000,0.9000
-4.4400,-2.8080,0.9026,0.9026
-4.4280,-2.8200,0.9054,0.9054
-4.4160,-2.8320,0.9022,0.9022
-4.4040,-2.8320,0.9020,0.9020
-4.3920,-2.8440,0.8967,0.8967
-4.3800,-2.8560,0.8885,0.8885
-4.3680,-2.8560,0.8920,0.8920
-4.3560,-2.8680,0.8842,0.8842
-4.3440,-2.8800,0.8767,0.8767
-4.3320,-2.8920,0.8691,0.8691
-4.3200,-2.8920,0.8728,0.8728
-4.3080,-2.9040,0.8653,0.8653
-4.2960,-2.9160,0.8581,0.8581
-4.2840,-2.9160,0.8624,0.8624
-4.2720,-2.9280,0.8557,0.8557
-4.2600,-2.9400,0.8493,0.8493
-4.2480,-2.9400,0.8540,0.8540
-4.2360,-2.9520,0.8462,0.8462
-4.2240,-2.9520,0.8501,0.8501
-4.2120,-2.9520,0.8540,0.8540
-4.2000,-2.9520,0.8581,0.8581
-4.1880,-2.9520,0.8624,0.8624
-4.1760,-2.9640,0.8557,0.8557
-4.1640,-2.9640,0.8603,0.8603
-4.1520,-2.9640,0.8651,0.8651
-4.1400,-2.9760,0.8591,0.8591
-4.1280,-2.9760,0.8642,0.8642
-4.1160,-2.9760,0.8691,0.8691
-4.1040,-2.9880,0.8614,0.8614
-4.0920,-2.9880,0.8653,0.8653
-4.0800,-2.9880,0.8694,0.8694
-4.0680,-2.9880,0.8736,0.8736
-4.0560,-3.0000,0.8668,0.8668
-4.0440,-3.0000,0.8714,0.8714
-4.0320,-3.0000,0.8761,0.8761
-4.0200,-3.0000,0.8748,0.8748
-4.0080,-3.0000,0.8694,0.8694
-3.9960,-3.0000,0.8642,0.8642
-3.9840,-3.0000,0.8591,0.8591
-3.9720,-3.0120,0.8641,0.8641
-3.9600,-3.0120,0.8587,0.8587
-3.9480,-3.0120,0.8534,0.8534
-3.9360,-3.0120,0.8482,0.8482
-3.9240,-3.0120,0.8432,0.8432
-3.9120,-3.0120,0.8383,0.8383
-3.9000,-3.0240,0.8446,0.8446
-3.8880,-3.0240,0.8401,0.8401
-3.8760,-3.0240,0.8357,0.8357
-3.8640,-3.0240,0.8315,0.8315
-3.8520,-3.0240,0.8274,0.8274
-3.8400,-3.0360,0.8348,0.8348
-3.8280,-3.0360,0.8311,0.8311
-3.8160,-3.0360,0.8274,0.8274
-3.8040,-3.0360,0.8235,0.8235
-3.7920,-3.0360,0.8197,0.8197
-3.7800,-3.0360,0.8161,0.8161
-3.7680,-3.0360,0.8121,0.8121
-3.7560,-3.0480,0.8197,0.8197
-3.7440,-3.0480,0.8161,0.8161
-3.7320,-3.0480,0.8126,0.8126
-3.7200,-3.0480,0.8094,0.8094
-3.7080,-3.0480,0.8062,0.8062
-3.6960,-3.0480,0.8033,0.8033
-3.6840,-3.0600,0.8122,0.8122
-3.6720,-3.0600,0.8096,0.8096
-3.6600,-3.0600,0.8072,0.8072
-3.6480,-3.0600,0.8050,0.8050
-3.6360,-3.0600,0.8029,0.8029
-3.6240,-3.0600,0.8010,0.8010
-3.6120,-3.0720,0.8112,0.8112
-3.6000,-3.0720,0.8097,0.8097
-3.5880,-3.0720,0.8084,0.8084
-3.5760,-3.0720,0.8072,0.8072
-3.5640,-3.0720,0.8062,0.8062
-3.5520,-3.0720,0.8054,0.8054
-3.5400,-3.0840,0.8168,0.8168
-3.5280,-3.0840,0.8164,0.8164
-3.5160,-3.0840,0.8161,0.8161
-3.5040,-3.0840,0.8160,0.8160
-3.4920,-3.0840,0.8160,0.8160
-3.4800,-3.0840,0.8160,0.8160
-3.4680,-3.0840,0.8160,0.8160
-3.4560,-3.0840,0.8160,0.8160
-3.4440,-3.0840,0.8160,0.8160
-3.4320,-3.0960,0.8280,0.8280
-3.4200,-3.0960,0.8280,0.8280
-3.4080,-3.0960,0.8280,0.8280
-3.3960,-3.0960,0.8280,0.8280
-3.3840,-3.0960,0.8280,0.8280
-3.3720,-3.0960,0.8280,0.8280
-3.3600,-3.1080,0.8400,0.8400
-3.3480,-3.1080,0.8400,0.8400
-3.3360,-3.1080,0.8400,0.8400
-3.3240,-3.1080,0.8400,0.8400
-3.3120,-3.1080,0.8400,0.8400
-3.3000,-3.1200,0.8520,0.8520
-3.2880,-3.1200,0.8520,0.8520
-3.2760,-3.1200,0.8520,0.8520
-3.2640,-3.1200,0.8520,0.8520
-3.2520,-3.1200,0.8520,0.8520
-3.2400,-3.1200,0.8521,0.8521
-3.2280,-3.1320,0.8643,0.8643
-3.2160,-3.1320,0.8647,0.8647
-3.2040,-3.1320,0.8653,0.8653
-3.1920,-3.1320,0.8661,0.8661
-3.1800,-3.1320,0.8670,0.8670
-3.1680,-3.1440,0.8800,0.8800
-3.1560,-3.1440,0.8812,0.8812
-3.1440,-3.1440,0.8826,0.8826
-3.1320,-3.1440,0.8842,0.8842
-3.1200,-3.1440,0.8859,0.8859
-3.1080,-3.1440,0.8878,0.8878
-3.0960,-3.1440,0.8898,0.8898
-3.0840,-3.1440,0.8920,0.8920
-3.0720,-3.1440,0.8943,0.8943
-3.0600,-3.1440,0.8968,0.8968
-3.0480,-3.1440,0.8994,0.8994
-3.0360,-3.1440,0.9003,0.9003
-3.0240,-3.1440,0.9007,0.9007
-3.0120,-3.1440,0.9013,0.9013
-3.0000,-3.1440,0.9020,0.9020
-2.9880,-3.1440,0.9029,0.9029
-2.9760,-3.1440,0.9039,0.9039
-2.9640,-3.1320,0.9083,0.9083
-2.9520,-3.1320,0.9115,0.9115
-2.9400,-3.1320,0.9149,0.9149
-2.9280,-3.1320,0.9185,0.9185
-2.9160,-3.1320,0.9221,0.9221
-2.9040,-3.1200,0.9146,0.9146
-2.8920,-3.1200,0.9186,0.9186
-2.8800,-3.1200,0.9228,0.9228
-2.8680,-3.1200,0.9270,0.9270
-2.8560,-3.1200,0.9315,0.9315
-2.8440,-3.1080,0.9249,0.9249
-2.8320,-3.1080,0.9297,0.9297
-2.8200,-3.1080,0.9345,0.9345
-2.8080,-3.0960,0.9287,0.9287
-2.7960,-3.0960,0.9338,0.9338
-2.7840,-3.0960,0.9391,0.9391
-2.7720,-3.0840,0.9338,0.9338
-2.7600,-3.0840,0.9391,0.9391
-2.7480,-3.0840,0.9446,0.9446
-2.7360,-3.0720,0.9391,0.9391
-2.7240,-3.0720,0.9446,0.9446
-2.7120,-3.0720,0.9499,0.9499
-2.7000,-3.0600,0.9446,0.9446
-2.6880,-3.0600,0.9501,0.9501
-2.6760,-3.0600,0.9558,0.9558
-2.6640,-3.0600,0.9616,0.9616
-2.6520,-3.0480,0.9571,0.9571
-2.6400,-3.0480,0.9631,0.9631
-2.6280,-3.0360,0.9591,0.9591
-2.6160,-3.0240,0.9553,0.9553
-2.6040,-3.0240,0.9607,0.9607
-2.5920,-3.0120,0.9553,0.9553
-2.5800,-3.0000,0.9501,0.9501
-2.5680,-3.0000,0.9467,0.9467
-2.5560,-2.9880,0.9426,0.9426
-2.5440,-2.9760,0.9388,0.9388
-2.5320,-2.9640,0.9348,0.9348
-2.5200,-2.9520,0.9303,0.9303
-2.5200,-2.9400,0.9287,0.9287
-2.5080,-2.9280,0.9252,0.9252
-2.4960,-2.9160,0.9221,0.9221
-2.4840,-2.9040,0.9193,0.9193
-2.4720,-2.8920,0.9168,0.9168
-2.4600,-2.8800,0.9146,0.9146
-2.4480,-2.8680,0.9121,0.9121
-2.4360,-2.8560,0.9086,0.9086
-2.4240,-2.8440,0.9054,0.9054
-2.4120,-2.8320,0.9020,0.9020
-2.4000,-2.8200,0.8975,0.8975
-2.3880,-2.8080,0.8932,0.8932
-2.3760,-2.7960,0.8891,0.8891
-2.3640,-2.7840,0.8854,0.8854
-2.3520,-2.7720,0.8803,0.8803
-2.3400,-2.7600,0.8753,0.8753
-2.3280,-2.7480,0.8707,0.8707
-2.3160,-2.7360,0.8664,0.8664
-2.3160,-2.7240,0.8726,0.8726
-2.3040,-2.7120,0.8688,0.8688
-2.2920,-2.7000,0.8653,0.8653
-2.2800,-2.6880,0.8591,0.8591
-2.2680,-2.6760,0.8500,0.8500
-2.2680,-2.6640,0.8528,0.8528
-2.2560,-2.6520,0.8441,0.8441
-2.2560,-2.6400,0.8473,0.8473
-2.2440,-2.6280,0.8391,0.8391
-2.2320,-2.6160,0.8311,0.8311
-2.2320,-2.6040,0.8348,0.8348
-2.2200,-2.5920,0.8274,0.8274
-2.2080,-2.5800,0.8202,0.8202
-2.2080,-2.5680,0.8245,0.8245
-2.1960,-2.5560,0.8179,0.8179
-2.1960,-2.5440,0.8225,0.8225
-2.1840,-2.5320,0.8164,0.8164
-2.1840,-2.5200,0.8214,0.8214
-2.1720,-2.5080,0.8157,0.8157
-2.1720,-2.4960,0.8211,0.8211
-2.1720,-2.4840,0.8265,0.8265
-2.1720,-2.4720,0.8318,0.8318
-2.1600,-2.4600,0.8266,0.8266
-2.1600,-2.4480,0.8322,0.8322
-2.1600,-2.4360,0.8276,0.8276
-2.1600,-2.4240,0.8217,0.8217
-2.1600,-2.4120,0.8160,0.8160
-2.1600,-2.4000,0.8104,0.8104
-2.1600,-2.3880,0.8050,0.8050
-2.1480,-2.3760,0.8104,0.8104
-2.1480,-2.3640,0.8050,0.8050
-2.1480,-2.3520,0.7997,0.7997
-2.1480,-2.3400,0.7943,0.7943
-2.1480,-2.3280,0.7889,0.7889
-2.1480,-2.3160,0.7837,0.7837
-2.1480,-2.3040,0.7786,0.7786
-2.1480,-2.2920,0.7737,0.7737
-2.1480,-2.2800,0.7689,0.7689
-2.1360,-2.2680,0.7755,0.7755
-2.1360,-2.2560,0.7711,0.7711
-2.1360,-2.2440,0.7669,0.7669
-2.1360,-2.2320,0.7628,0.7628
-2.1240,-2.2200,0.7703,0.7703
-2.1240,-2.2080,0.7667,0.7667
-2.1240,-2.1960,0.7632,0.7632
-2.1240,-2.1840,0.7599,0.7599
-2.1240,-2.1720,0.7568,0.7568
-2.1240,-2.1600,0.7538,0.7538
-2.1120,-2.1480,0.7627,0.7627
-2.1120,-2.1360,0.7602,0.7602
-2.1120,-2.1240,0.7578,0.7578
-2.1120,-2.1120,0.7556,0.7556
-2.1120,-2.1000,0.7536,0.7536
-2.1000,-2.0880,0.7637,0.7637
-2.1000,-2.0760,0.7621,0.7621
-2.1000,-2.0640,0.7607,0.7607
-2.1000,-2.0520,0.7594,0.7594
-2.1000,-2.0400,0.7584,0.7584
-2.1000,-2.0280,0.7575,0.7575
-2.1000,-2.0160,0.7569,0.7569
-2.1000,-2.0040,0.7564,0.7564
-2.1000,-1.9920,0.7561,0.7561
-2.0880,-1.9800,0.7680,0.7680
-2.0880,-1.9680,0.7680,0.7680
-2.0880,-1.9560,0.7680,0.7680
-2.0880,-1.9440,0.7680,0.7680
-2.0880,-1.9320,0.7680,0.7680
-2.0880,-1.9200,0.7680,0.7680
-2.0760,-1.9080,0.7800,0.7800
-2.0760,-1.8960,0.7800,0.7800
-2.0760,-1.8840,0.7800,0.7800
-2.0760,-1.8720,0.7800,0.7800
-2.0760,-1.8600,0.7800,0.7800
-2.0760,-1.8480,0.7800,0.7800
-2.0760,-1.8360,0.7800,0.7800
