# x_m,y_m,w_tr_right_m,w_tr_left_m
1.2880,-4.2880,0.8022,0.8022
1.2880,-4.3000,0.8068,0.8068
1.3000,-4.3120,0.8005,0.8005
1.3120,-4.3120,0.7895,0.7895
1.3240,-4.3240,0.7837,0.7837
1.3360,-4.3360,0.7782,0.7782
1.3480,-4.3480,0.7729,0.7729
1.3480,-4.3600,0.7782,0.7782
1.3600,-4.3720,0.7730,0.7730
1.3720,-4.3840,0.7681,0.7681
1.3840,-4.3960,0.7636,0.7636
1.3960,-4.4080,0.7594,0.7594
1.4080,-4.4200,0.7556,0.7556
1.4080,-4.4320,0.7576,0.7576
1.4200,-4.4440,0.7532,0.7532
1.4320,-4.4440,0.7491,0.7491
1.4440,-4.4560,0.7455,0.7455
1.4440,-4.4680,0.7455,0.7455
1.4560,-4.4800,0.7423,0.7423
1.4680,-4.4920,0.7393,0.7393
1.4800,-4.5040,0.7324,0.7324
1.4920,-4.5160,0.7249,0.7249
1.5040,-4.5280,0.7173,0.7173
1.5160,-4.5400,0.7096,0.7096
1.5280,-4.5520,0.7023,0.7023
1.5400,-4.5640,0.6953,0.6953
1.5520,-4.5760,0.6886,0.6886
1.5640,-4.5880,0.6823,0.6823
1.5760,-4.6000,0.6764,0.6764
1.5880,-4.6120,0.6708,0.6708
1.6000,-4.6240,0.6656,0.6656
1.6120,-4.6240,0.6714,0.6714
1.6240,-4.6360,0.6668,0.6668
1.6360,-4.6480,0.6603,0.6603
1.6480,-4.6600,0.6531,0.6531
1.6600,-4.6600,0.6574,0.6574
1.6720,-4.6720,0.6508,0.6508
1.6840,-4.6840,0.6445,0.6445
1.6960,-4.6840,0.6496,0.6496
1.7080,-4.6840,0.6547,0.6547
1.7200,-4.6960,0.6494,0.6494
1.7320,-4.7080,0.6440,0.6440
1.7440,-4.7080,0.6494,0.6494
1.7560,-4.7200,0.6440,0.6440
1.7680,-4.7320,0.6388,0.6388
1.7800,-4.7440,0.6337,0.6337
1.7920,-4.7560,0.6264,0.6264
1.8040,-4.7680,0.6186,0.6186
1.8160,-4.7680,0.6224,0.6224
1.8280,-4.7800,0.6152,0.6152
1.8400,-4.7800,0.6195,0.6195
1.8520,-4.7920,0.6129,0.6129
1.8640,-4.8040,0.6068,0.6068
1.8760,-4.8040,0.6119,0.6119
1.8880,-4.8160,0.6064,0.6064
1.9000,-4.8160,0.6120,0.6120
1.9120,-4.8280,0.6073,0.6073
1.9120,-4.8400,0.5969,0.5969
1.9240,-4.8520,0.5928,0.5928
1.9360,-4.8520,0.5972,0.5972
1.9480,-4.8640,0.5909,0.5909
1.9600,-4.8640,0.5959,0.5959
1.9720,-4.8760,0.5903,0.5903
1.9840,-4.8760,0.5940,0.5940
1.9960,-4.8880,0.5839,0.5839
2.0080,-4.8880,0.5860,0.5860
2.0200,-4.9000,0.5766,0.5766
2.0320,-4.9000,0.5731,0.5731
2.0440,-4.9120,0.5578,0.5578
2.0560,-4.9120,0.5541,0.5541
2.0680,-4.9120,0.5506,0.5506
2.0800,-4.9120,0.5473,0.5473
2.0920,-4.9120,0.5442,0.5442
2.1040,-4.9120,0.5415,0.5415
2.1160,-4.9120,0.5389,0.5389
2.1280,-4.9120,0.5367,0.5367
2.1400,-4.9120,0.5346,0.5346
2.1520,-4.9120,0.5313,0.5313
2.1640,-4.9120,0.5276,0.5276
2.1760,-4.9120,0.5239,0.5239
2.1880,-4.9120,0.5199,0.5199
2.2000,-4.9120,0.5161,0.5161
2.2120,-4.9120,0.5126,0.5126
2.2240,-4.9120,0.5094,0.5094
2.2360,-4.9120,0.5064,0.5064
2.2480,-4.9000,0.5014,0.5014
2.2600,-4.9000,0.4972,0.4972
2.2720,-4.9000,0.4933,0.4933
2.2840,-4.9000,0.4897,0.4897
2.2960,-4.9000,0.4863,0.4863
2.3080,-4.9000,0.4831,0.4831
2.3200,-4.9000,0.4803,0.4803
2.3320,-4.9000,0.4777,0.4777
2.3440,-4.9000,0.4747,0.4747
2.3560,-4.8880,0.4593,0.4593
2.3680,-4.8880,0.4554,0.4554
2.3800,-4.8880,0.4517,0.4517
2.3920,-4.8880,0.4484,0.4484
2.4040,-4.8880,0.4453,0.4453
2.4160,-4.8880,0.4425,0.4425
2.4280,-4.8880,0.4401,0.4401
2.4400,-4.8880,0.4368,0.4368
2.4520,-4.8880,0.4327,0.4327
2.4640,-4.8880,0.4288,0.4288
2.4760,-4.8880,0.4253,0.4253
2.4880,-4.8880,0.4221,0.4221
2.5000,-4.8880,0.4191,0.4191
2.5120,-4.8760,0.4048,0.4048
2.5240,-4.8760,0.4025,0.4025
2.5360,-4.8760,0.4005,0.4005
2.5480,-4.8760,0.3989,0.3989
2.5600,-4.8760,0.3976,0.3976
2.5720,-4.8760,0.3967,0.3967
2.5840,-4.8760,0.3962,0.3962
2.5960,-4.8760,0.3960,0.3960
2.6080,-4.8640,0.3840,0.3840
2.6200,-4.8640,0.3840,0.3840
2.6320,-4.8640,0.3840,0.3840
2.6440,-4.8640,0.3840,0.3840
2.6560,-4.8640,0.3840,0.3840
2.6680,-4.8640,0.3840,0.3840
2.6800,-4.8520,0.3720,0.3720
2.6920,-4.8520,0.3720,0.3720
2.7040,-4.8520,0.3720,0.3720
2.7160,-4.8520,0.3720,0.3720
2.7280,-4.8520,0.3720,0.3720
2.7400,-4.8520,0.3720,0.3720
2.7520,-4.8520,0.3720,0.3720
2.7640,-4.8520,0.3720,0.3720
2.7760,-4.8400,0.3600,0.3600
2.7880,-4.8400,0.3602,0.3602
2.8000,-4.8400,0.3608,0.3608
2.8120,-4.8400,0.3618,0.3618
2.8240,-4.8400,0.3632,0.3632
2.8360,-4.8400,0.3650,0.3650
2.8480,-4.8280,0.3554,0.3554
2.8600,-4.8280,0.3580,0.3580
2.8720,-4.8280,0.3610,0.3610
2.8840,-4.8280,0.3644,0.3644
