# x_m,y_m,w_tr_right_m,w_tr_left_m
-4.2700,-0.7800,0.4449,0.4449
-4.2600,-0.7900,0.4464,0.4464
-4.2500,-0.8000,0.4475,0.4475
-4.2400,-0.8100,0.4475,0.4475
-4.2300,-0.8200,0.4475,0.4475
-4.2200,-0.8300,0.4475,0.4475
-4.2100,-0.8400,0.4475,0.4475
-4.2000,-0.8500,0.4475,0.4475
-4.1900,-0.8600,0.4475,0.4475
-4.1900,-0.8700,0.4437,0.4437
-4.1800,-0.8800,0.4449,0.4449
-4.1700,-0.8900,0.4464,0.4464
-4.1600,-0.9000,0.4481,0.4481
-4.1500,-0.9100,0.4500,0.4500
-4.1400,-0.9200,0.4521,0.4521
-4.1300,-0.9300,0.4543,0.4543
-4.1200,-0.9400,0.4552,0.4552
-4.1100,-0.9500,0.4559,0.4559
-4.1000,-0.9600,0.4567,0.4567
-4.0900,-0.9700,0.4578,0.4578
-4.0800,-0.9800,0.4590,0.4590
-4.0700,-0.9900,0.4605,0.4605
-4.0600,-1.0000,0.4617,0.4617
-4.0500,-1.0100,0.4617,0.4617
-4.0400,-1.0200,0.4617,0.4617
-4.0300,-1.0300,0.4617,0.4617
-4.0300,-1.0400,0.4621,0.4621
-4.0200,-1.0500,0.4626,0.4626
-4.0100,-1.0600,0.4633,0.4633
-4.0000,-1.0700,0.4643,0.4643
-3.9900,-1.0800,0.4654,0.4654
-3.9800,-1.0900,0.4667,0.4667
-3.9700,-1.1000,0.4683,0.4683
-3.9600,-1.1100,0.4701,0.4701
-3.9500,-1.1200,0.4720,0.4720
-3.9400,-1.1300,0.4742,0.4742
-3.9300,-1.1400,0.4762,0.4762
-3.9200,-1.1500,0.4742,0.4742
-3.9100,-1.1500,0.4742,0.4742
-3.9000,-1.1600,0.4749,0.4749
-3.8900,-1.1700,0.4705,0.4705
-3.8800,-1.1800,0.4660,0.4660
-3.8700,-1.1900,0.4615,0.4615
-3.8600,-1.1900,0.4660,0.4660
-3.8500,-1.2000,0.4618,0.4618
-3.8400,-1.2100,0.4577,0.4577
-3.8300,-1.2200,0.4538,0.4538
-3.8200,-1.2300,0.4502,0.4502
-3.8100,-1.2400,0.4467,0.4467
-3.8000,-1.2400,0.4519,0.4519
-3.7900,-1.2500,0.4487,0.4487
-3.7800,-1.2500,0.4541,0.4541
-3.7700,-1.2600,0.4513,0.4513
-3.7600,-1.2700,0.4487,0.4487
-3.7500,-1.2800,0.4463,0.4463
-3.7400,-1.2900,0.4440,0.4440
-3.7300,-1.2900,0.4500,0.4500
-3.7200,-1.3000,0.4481,0.4481
-3.7100,-1.3100,0.4437,0.4437
-3.7000,-1.3100,0.4481,0.4481
-3.6900,-1.3200,0.4437,0.4437
-3.6800,-1.3300,0.4391,0.4391
-3.6700,-1.3300,0.4437,0.4437
-3.6600,-1.3400,0.4391,0.4391
-3.6500,-1.3500,0.4347,0.4347
-3.6400,-1.3600,0.4302,0.4302
-3.6300,-1.3600,0.4348,0.4348
-3.6200,-1.3700,0.4306,0.4306
-3.6100,-1.3800,0.4266,0.4266
-3.6000,-1.3900,0.4228,0.4228
-3.5900,-1.3900,0.4278,0.4278
-3.5800,-1.4000,0.4244,0.4244
-3.5700,-1.4100,0.4211,0.4211
-3.5600,-1.4100,0.4265,0.4265
-3.5500,-1.4200,0.4236,0.4236
-3.5400,-1.4300,0.4209,0.4209
-3.5300,-1.4300,0.4265,0.4265
-3.5200,-1.4400,0.4236,0.4236
-3.5100,-1.4400,0.4291,0.4291
-3.5000,-1.4500,0.4266,0.4266
-3.4900,-1.4600,0.4242,0.4242
-3.4800,-1.4700,0.4220,0.4220
-3.4700,-1.4700,0.4280,0.4280
-3.4600,-1.4800,0.4259,0.4259
-3.4500,-1.4900,0.4218,0.4218
-3.4400,-1.4900,0.4266,0.4266
-3.4300,-1.5000,0.4228,0.4228
-3.4200,-1.5100,0.4192,0.4192
-3.4100,-1.5100,0.4244,0.4244
-3.4000,-1.5200,0.4211,0.4211
-3.3900,-1.5300,0.4181,0.4181
-3.3800,-1.5400,0.4153,0.4153
-3.3700,-1.5400,0.4209,0.4209
-3.3600,-1.5500,0.4168,0.4168
-3.3500,-1.5600,0.4124,0.4124
-3.3400,-1.5700,0.4079,0.4079
-3.3300,-1.5700,0.4124,0.4124
-3.3200,-1.5800,0.4079,0.4079
-3.3100,-1.5800,0.4124,0.4124
-3.3000,-1.5900,0.4079,0.4079
-3.2900,-1.6000,0.4025,0.4025
-3.2800,-1.6000,0.4062,0.4062
-3.2700,-1.6100,0.4008,0.4008
-3.2600,-1.6200,0.3954,0.3954
-3.2500,-1.6200,0.3989,0.3989
-3.2400,-1.6300,0.3932,0.3932
-3.2300,-1.6400,0.3877,0.3877
-3.2200,-1.6400,0.3916,0.3916
-3.2100,-1.6500,0.3864,0.3864
-3.2000,-1.6600,0.3814,0.3814
-3.1900,-1.6700,0.3766,0.3766
-3.1800,-1.6700,0.3810,0.3810
-3.1700,-1.6700,0.3855,0.3855
-3.1600,-1.6800,0.3810,0.3810
-3.1500,-1.6900,0.3766,0.3766
-3.1400,-1.6900,0.3810,0.3810
-3.1300,-1.7000,0.3766,0.3766
-3.1200,-1.7000,0.3812,0.3812
