# x_m,y_m,w_tr_right_m,w_tr_left_m
2.2760,0.5160,0.9639,0.9639
2.2640,0.5040,0.9565,0.9565
2.2520,0.5040,0.9607,0.9607
2.2400,0.5040,0.9649,0.9649
2.2280,0.4920,0.9582,0.9582
2.2160,0.4920,0.9628,0.9628
2.2040,0.4920,0.9663,0.9663
2.1920,0.4920,0.9693,0.9693
2.1800,0.4800,0.9610,0.9610
2.1680,0.4800,0.9643,0.9643
2.1560,0.4800,0.9678,0.9678
2.1440,0.4800,0.9715,0.9715
2.1320,0.4800,0.9753,0.9753
2.1200,0.4800,0.9792,0.9792
2.1080,0.4800,0.9832,0.9832
2.0960,0.4680,0.9761,0.9761
2.0840,0.4680,0.9805,0.9805
2.0720,0.4680,0.9850,0.9850
2.0600,0.4680,0.9895,0.9895
2.0480,0.4560,0.9833,0.9833
2.0360,0.4560,0.9876,0.9876
2.0240,0.4560,0.9887,0.9887
2.0120,0.4560,0.9899,0.9899
2.0000,0.4440,0.9767,0.9767
1.9880,0.4440,0.9746,0.9746
1.9760,0.4320,0.9607,0.9607
1.9640,0.4320,0.9589,0.9589
1.9520,0.4320,0.9571,0.9571
1.9400,0.4200,0.9437,0.9437
1.9280,0.4200,0.9422,0.9422
1.9160,0.4200,0.9409,0.9409
1.9040,0.4200,0.9398,0.9398
1.8920,0.4080,0.9268,0.9268
1.8800,0.4080,0.9259,0.9259
1.8680,0.3960,0.9133,0.9133
1.8560,0.3840,0.9007,0.9007
1.8440,0.3840,0.9003,0.9003
1.8320,0.3840,0.9001,0.9001
1.8200,0.3720,0.8880,0.8880
1.8080,0.3720,0.8880,0.8880
1.7960,0.3600,0.8760,0.8760
1.7840,0.3600,0.8760,0.8760
1.7720,0.3480,0.8640,0.8640
1.7600,0.3480,0.8640,0.8640
1.7480,0.3480,0.8640,0.8640
1.7360,0.3360,0.8503,0.8503
1.7240,0.3360,0.8485,0.8485
1.7120,0.3360,0.8469,0.8469
1.7000,0.3360,0.8449,0.8449
1.6880,0.3360,0.8426,0.8426
1.6760,0.3360,0.8404,0.8404
1.6640,0.3360,0.8385,0.8385
1.6520,0.3360,0.8367,0.8367
1.6400,0.3360,0.8350,0.8350
1.6280,0.3360,0.8335,0.8335
1.6160,0.3360,0.8322,0.8322
1.6040,0.3360,0.8311,0.8311
1.5920,0.3360,0.8302,0.8302
1.5800,0.3360,0.8294,0.8294
1.5680,0.3240,0.8149,0.8149
1.5560,0.3240,0.8122,0.8122
1.5440,0.3240,0.8096,0.8096
1.5320,0.3240,0.8072,0.8072
1.5200,0.3240,0.8050,0.8050
1.5080,0.3240,0.8029,0.8029
1.4960,0.3240,0.8010,0.8010
1.4840,0.3120,0.7874,0.7874
1.4720,0.3120,0.7859,0.7859
1.4600,0.3120,0.7845,0.7845
1.4480,0.3000,0.7714,0.7714
1.4360,0.3000,0.7703,0.7703
1.4240,0.3000,0.7695,0.7695
1.4120,0.2880,0.7569,0.7569
1.4000,0.2880,0.7556,0.7556
1.3880,0.2760,0.7418,0.7418
1.3760,0.2760,0.7399,0.7399
1.3640,0.2640,0.7264,0.7264
1.3520,0.2640,0.7249,0.7249
1.3400,0.2640,0.7236,0.7236
1.3280,0.2520,0.7105,0.7105
1.3160,0.2520,0.7084,0.7084
1.3040,0.2520,0.7063,0.7063
1.2920,0.2400,0.6925,0.6925
1.2800,0.2400,0.6907,0.6907
1.2680,0.2400,0.6891,0.6891
1.2560,0.2400,0.6878,0.6878
1.2440,0.2280,0.6747,0.6747
1.2320,0.2280,0.6737,0.6737
1.2200,0.2160,0.6610,0.6610
1.2080,0.2160,0.6604,0.6604
1.1960,0.2160,0.6601,0.6601
1.1840,0.2040,0.6480,0.6480
1.1720,0.2040,0.6480,0.6480
1.1600,0.2040,0.6480,0.6480
1.1480,0.1920,0.6354,0.6354
1.1360,0.1920,0.6333,0.6333
1.1240,0.1920,0.6313,0.6313
1.1120,0.1800,0.6177,0.6177
1.1000,0.1800,0.6162,0.6162
1.0880,0.1680,0.6030,0.6030
1.0760,0.1680,0.6019,0.6019
1.0640,0.1680,0.6011,0.6011
1.0520,0.1560,0.5885,0.5885
1.0400,0.1560,0.5881,0.5881
1.0280,0.1560,0.5880,0.5880
1.0160,0.1560,0.5880,0.5880
1.0040,0.1560,0.5880,0.5880
0.9920,0.1440,0.5742,0.5742
0.9800,0.1440,0.5721,0.5721
0.9680,0.1440,0.5702,0.5702
0.9560,0.1440,0.5686,0.5686
0.9440,0.1440,0.5672,0.5672
0.9320,0.1440,0.5660,0.5660
0.9200,0.1320,0.5532,0.5532
0.9080,0.1320,0.5525,0.5525
0.8960,0.1320,0.5521,0.5521
0.8840,0.1320,0.5520,0.5520
0.8720,0.1200,0.5400,0.5400
0.8600,0.1200,0.5389,0.5389
0.8480,0.1200,0.5367,0.5367
0.8360,0.1200,0.5346,0.5346
0.8240,0.1080,0.5210,0.5210
0.8120,0.1080,0.5195,0.5195
0.8000,0.1080,0.5182,0.5182
0.7880,0.1080,0.5173,0.5173
0.7760,0.1080,0.5166,0.5166
0.7640,0.0960,0.5041,0.5041
0.7520,0.0960,0.5040,0.5040
0.7400,0.0960,0.5040,0.5040
0.7280,0.0960,0.5040,0.5040
0.7160,0.0840,0.4920,0.4920
0.7040,0.0840,0.4897,0.4897
0.6920,0.0840,0.4863,0.4863
0.6800,0.0840,0.4831,0.4831
0.6680,0.0840,0.4803,0.4803
0.6560,0.0720,0.4660,0.4660
0.6440,0.0720,0.4637,0.4637
0.6320,0.0720,0.4616,0.4616
0.6200,0.0720,0.4599,0.4599
0.6080,0.0720,0.4585,0.4585
0.5960,0.0720,0.4574,0.4574
0.5840,0.0720,0.4566,0.4566
0.5720,0.0720,0.4562,0.4562
0.5600,0.0600,0.4440,0.4440
0.5480,0.0600,0.4440,0.4440
0.5360,0.0600,0.4440,0.4440
0.5240,0.0600,0.4440,0.4440
0.5120,0.0600,0.4440,0.4440
0.5000,0.0600,0.4440,0.4440
0.4880,0.0600,0.4440,0.4440
0.4760,0.0480,0.4320,0.4320
0.4640,0.0480,0.4320,0.4320
0.4520,0.0480,0.4320,0.4320
0.4400,0.0480,0.4320,0.4320
0.4280,0.0480,0.4320,0.4320
0.4160,0.0360,0.4202,0.4202
0.4040,0.0360,0.4207,0.4207
0.3920,0.0360,0.4215,0.4215
0.3800,0.0360,0.4227,0.4227
0.3680,0.0360,0.4243,0.4243
0.3560,0.0360,0.4261,0.4261
0.3440,0.0360,0.4283,0.4283
0.3320,0.0240,0.4191,0.4191
0.3200,0.0240,0.4221,0.4221
0.3080,0.0240,0.4253,0.4253
0.2960,0.0240,0.4283,0.4283
0.2840,0.0240,0.4308,0.4308
0.2720,0.0240,0.4337,0.4337
0.2600,0.0120,0.4243,0.4243
0.2480,0.0120,0.4261,0.4261
0.2360,0.0120,0.4283,0.4283
0.2240,0.0120,0.4308,0.4308
0.2120,0.0120,0.4335,0.4335
0.2000,0.0120,0.4347,0.4347
0.1880,0.0120,0.4361,0.4361
0.1760,0.0000,0.4261,0.4261
0.1640,0.0000,0.4283,0.4283
0.1520,0.0000,0.4308,0.4308
0.1400,0.0000,0.4337,0.4337
0.1280,0.0000,0.4361,0.4361
0.1160,0.0000,0.4368,0.4368
0.1040,-0.0120,0.4283,0.4283
0.0920,-0.0120,0.4308,0.4308
0.0800,-0.0120,0.4337,0.4337
0.0680,-0.0240,0.4253,0.4253
0.0560,-0.0240,0.4288,0.4288
0.0440,-0.0240,0.4327,0.4327
0.0320,-0.0360,0.4253,0.4253
0.0200,-0.0360,0.4288,0.4288
0.0080,-0.0360,0.4327,0.4327
-0.0040,-0.0360,0.4368,0.4368
-0.0160,-0.0360,0.4380,0.4380
-0.0280,-0.0360,0.4361,0.4361
-0.0400,-0.0480,0.4401,0.4401
-0.0520,-0.0480,0.4440,0.4440
-0.0640,-0.0480,0.4403,0.4403
-0.0760,-0.0480,0.4368,0.4368
-0.0880,-0.0600,0.4440,0.4440
-0.1000,-0.0600,0.4403,0.4403
-0.1120,-0.0600,0.4368,0.4368
-0.1240,-0.0600,0.4337,0.4337
-0.1360,-0.0600,0.4308,0.4308
-0.1480,-0.0600,0.4283,0.4283
-0.1600,-0.0720,0.4380,0.4380
-0.1720,-0.0720,0.4361,0.4361
-0.1840,-0.0720,0.4337,0.4337
-0.1960,-0.0840,0.4425,0.4425
-0.2080,-0.0840,0.4401,0.4401
-0.2200,-0.0960,0.4484,0.4484
-0.2320,-0.0960,0.4453,0.4453
-0.2440,-0.1080,0.4543,0.4543
-0.2560,-0.1080,0.4519,0.4519
-0.2680,-0.1080,0.4498,0.4498
-0.2800,-0.1080,0.4480,0.4480
-0.2920,-0.1200,0.4585,0.4585
-0.3040,-0.1320,0.4694,0.4694
-0.3160,-0.1320,0.4686,0.4686
-0.3280,-0.1440,0.4801,0.4801
