# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.6820,-1.5020,0.4800,0.4800
-0.6820,-1.4960,0.4800,0.4800
-0.6820,-1.4900,0.4800,0.4800
-0.6820,-1.4840,0.4800,0.4800
-0.6820,-1.4780,0.4800,0.4800
-0.6820,-1.4720,0.4800,0.4800
-0.6820,-1.4660,0.4800,0.4800
-0.6820,-1.4600,0.4800,0.4800
-0.6820,-1.4540,0.4800,0.4800
-0.6820,-1.4480,0.4800,0.4800
-0.6820,-1.4420,0.4800,0.4800
-0.6820,-1.4360,0.4800,0.4800
-0.6820,-1.4300,0.4800,0.4800
-0.6880,-1.4240,0.4740,0.4740
-0.6880,-1.4180,0.4740,0.4740
-0.6880,-1.4120,0.4740,0.4740
-0.6880,-1.4060,0.4740,0.4740
-0.6880,-1.4000,0.4740,0.4740
-0.6880,-1.3940,0.4740,0.4740
-0.6880,-1.3880,0.4740,0.4740
-0.6880,-1.3820,0.4740,0.4740
-0.6880,-1.3760,0.4740,0.4740
-0.6880,-1.3700,0.4742,0.4742
-0.6880,-1.3640,0.4743,0.4743
-0.6940,-1.3580,0.4686,0.4686
-0.6940,-1.3520,0.4690,0.4690
-0.6940,-1.3460,0.4694,0.4694
-0.6940,-1.3400,0.4699,0.4699
-0.6940,-1.3340,0.4705,0.4705
-0.6940,-1.3280,0.4711,0.4711
-0.6940,-1.3220,0.4718,0.4718
-0.6940,-1.3160,0.4726,0.4726
-0.6940,-1.3100,0.4735,0.4735
-0.6940,-1.3040,0.4740,0.4740
-0.6940,-1.2980,0.4740,0.4740
-0.6940,-1.2920,0.4740,0.4740
-0.6940,-1.2860,0.4740,0.4740
-0.6940,-1.2800,0.4742,0.4742
-0.7000,-1.2740,0.4683,0.4683
-0.7000,-1.2680,0.4686,0.4686
-0.7000,-1.2620,0.4690,0.4690
-0.7000,-1.2560,0.4694,0.4694
-0.7000,-1.2500,0.4699,0.4699
-0.7000,-1.2440,0.4705,0.4705
-0.7000,-1.2380,0.4711,0.4711
-0.7000,-1.2320,0.4718,0.4718
-0.7060,-1.2260,0.4667,0.4667
-0.7060,-1.2200,0.4676,0.4676
-0.7060,-1.2140,0.4685,0.4685
-0.7060,-1.2080,0.4696,0.4696
-0.7060,-1.2020,0.4707,0.4707
-0.7060,-1.1960,0.4719,0.4719
-0.7060,-1.1900,0.4731,0.4731
-0.7060,-1.1840,0.4745,0.4745
-0.7060,-1.1780,0.4759,0.4759
-0.7060,-1.1720,0.4773,0.4773
-0.7060,-1.1660,0.4789,0.4789
-0.7060,-1.1600,0.4805,0.4805
-0.7060,-1.1540,0.4822,0.4822
-0.7060,-1.1480,0.4839,0.4839
-0.7060,-1.1420,0.4857,0.4857
-0.7060,-1.1360,0.4876,0.4876
-0.7060,-1.1300,0.4896,0.4896
-0.7060,-1.1240,0.4916,0.4916
-0.7060,-1.1180,0.4913,0.4913
-0.7060,-1.1120,0.4905,0.4905
-0.7060,-1.1060,0.4897,0.4897
-0.7060,-1.1000,0.4890,0.4890
-0.7060,-1.0940,0.4884,0.4884
-0.7060,-1.0880,0.4878,0.4878
-0.7060,-1.0820,0.4873,0.4873
-0.7120,-1.0760,0.4929,0.4929
-0.7120,-1.0700,0.4926,0.4926
-0.7120,-1.0640,0.4920,0.4920
-0.7120,-1.0580,0.4905,0.4905
-0.7120,-1.0520,0.4890,0.4890
-0.7120,-1.0460,0.4875,0.4875
-0.7120,-1.0400,0.4857,0.4857
-0.7120,-1.0340,0.4839,0.4839
-0.7120,-1.0280,0.4822,0.4822
-0.7120,-1.0220,0.4805,0.4805
-0.7120,-1.0160,0.4789,0.4789
-0.7120,-1.0100,0.4773,0.4773
-0.7120,-1.0040,0.4759,0.4759
-0.7120,-0.9980,0.4745,0.4745
-0.7120,-0.9920,0.4731,0.4731
-0.7120,-0.9860,0.4719,0.4719
-0.7120,-0.9800,0.4707,0.4707
-0.7120,-0.9740,0.4696,0.4696
-0.7120,-0.9680,0.4685,0.4685
-0.7120,-0.9620,0.4676,0.4676
-0.7120,-0.9560,0.4667,0.4667
-0.7120,-0.9500,0.4659,0.4659
-0.7180,-0.9440,0.4711,0.4711
-0.7180,-0.9380,0.4705,0.4705
