# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.9760,-2.2800,0.4401,0.4401
-0.9760,-2.2680,0.4368,0.4368
-0.9760,-2.2560,0.4337,0.4337
-0.9880,-2.2440,0.4425,0.4425
-0.9880,-2.2320,0.4401,0.4401
-0.9880,-2.2200,0.4368,0.4368
-0.9880,-2.2080,0.4337,0.4337
-0.9880,-2.1960,0.4308,0.4308
-0.9880,-2.1840,0.4283,0.4283
-1.0000,-2.1720,0.4368,0.4368
-1.0000,-2.1600,0.4327,0.4327
-1.0000,-2.1480,0.4288,0.4288
-1.0000,-2.1360,0.4253,0.4253
-1.0120,-2.1240,0.4337,0.4337
-1.0120,-2.1120,0.4308,0.4308
-1.0120,-2.1000,0.4283,0.4283
-1.0120,-2.0880,0.4261,0.4261
-1.0240,-2.0760,0.4361,0.4361
-1.0240,-2.0640,0.4347,0.4347
-1.0240,-2.0520,0.4335,0.4335
-1.0360,-2.0400,0.4446,0.4446
-1.0360,-2.0280,0.4442,0.4442
-1.0360,-2.0160,0.4440,0.4440
-1.0480,-2.0040,0.4560,0.4560
-1.0480,-1.9920,0.4560,0.4560
-1.0480,-1.9800,0.4560,0.4560
-1.0600,-1.9680,0.4680,0.4680
-1.0600,-1.9560,0.4680,0.4680
-1.0600,-1.9440,0.4682,0.4682
-1.0720,-1.9320,0.4806,0.4806
-1.0720,-1.9200,0.4813,0.4813
-1.0720,-1.9080,0.4824,0.4824
-1.0840,-1.8960,0.4956,0.4956
-1.0840,-1.8840,0.4972,0.4972
-1.0840,-1.8720,0.4991,0.4991
-1.0960,-1.8600,0.5131,0.5131
-1.0960,-1.8480,0.5154,0.5154
-1.1080,-1.8360,0.5298,0.5298
-1.1200,-1.8240,0.5442,0.5442
-1.1200,-1.8120,0.5473,0.5473
-1.1320,-1.8000,0.5621,0.5621
-1.1320,-1.7880,0.5640,0.5640
-1.1440,-1.7760,0.5760,0.5760
-1.1440,-1.7640,0.5760,0.5760
-1.1560,-1.7520,0.5880,0.5880
-1.1560,-1.7400,0.5880,0.5880
-1.1680,-1.7280,0.6000,0.6000
-1.1680,-1.7160,0.5978,0.5978
-1.1800,-1.7040,0.6076,0.6076
-1.1800,-1.6920,0.6059,0.6059
-1.1800,-1.6800,0.6043,0.6043
-1.1920,-1.6680,0.6149,0.6149
-1.1920,-1.6560,0.6139,0.6139
-1.2040,-1.6440,0.6231,0.6231
-1.2040,-1.6320,0.6199,0.6199
-1.2040,-1.6200,0.6170,0.6170
-1.2160,-1.6080,0.6261,0.6261
-1.2160,-1.5960,0.6237,0.6237
-1.2280,-1.5840,0.6333,0.6333
-1.2280,-1.5720,0.6313,0.6313
-1.2280,-1.5600,0.6296,0.6296
-1.2400,-1.5480,0.6401,0.6401
-1.2400,-1.5360,0.6378,0.6378
-1.2400,-1.5240,0.6354,0.6354
-1.2520,-1.5120,0.6451,0.6451
-1.2520,-1.5000,0.6432,0.6432
-1.2520,-1.4880,0.6415,0.6415
-1.2640,-1.4760,0.6520,0.6520
-1.2640,-1.4640,0.6508,0.6508
-1.2640,-1.4520,0.6498,0.6498
