# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.0510,-5.1410,0.9900,0.9900
-0.0420,-5.1500,0.9919,0.9919
-0.0330,-5.1590,0.9939,0.9939
-0.0240,-5.1680,0.9961,0.9961
-0.0150,-5.1680,0.9910,0.9910
-0.0060,-5.1770,0.9935,0.9935
0.0030,-5.1860,0.9961,0.9961
0.0120,-5.1950,0.9988,0.9988
0.0210,-5.2040,1.0018,1.0018
0.0300,-5.2040,0.9971,0.9971
0.0390,-5.2130,1.0003,1.0003
0.0480,-5.2130,0.9958,0.9958
0.0570,-5.2220,0.9992,0.9992
0.0660,-5.2220,0.9948,0.9948
0.0750,-5.2310,0.9985,0.9985
0.0840,-5.2310,0.9943,0.9943
0.0930,-5.2400,0.9982,0.9982
0.1020,-5.2400,0.9941,0.9941
0.1110,-5.2490,0.9971,0.9971
0.1200,-5.2490,0.9925,0.9925
0.1290,-5.2490,0.9880,0.9880
0.1380,-5.2490,0.9835,0.9835
0.1470,-5.2580,0.9869,0.9869
0.1560,-5.2580,0.9826,0.9826
0.1650,-5.2580,0.9784,0.9784
0.1740,-5.2670,0.9817,0.9817
0.1830,-5.2670,0.9770,0.9770
0.1920,-5.2760,0.9802,0.9802
0.2010,-5.2760,0.9757,0.9757
0.2100,-5.2760,0.9712,0.9712
0.2190,-5.2850,0.9747,0.9747
0.2280,-5.2850,0.9704,0.9704
0.2370,-5.2850,0.9662,0.9662
0.2460,-5.2850,0.9620,0.9620
0.2550,-5.2940,0.9660,0.9660
0.2640,-5.2940,0.9620,0.9620
0.2730,-5.2940,0.9579,0.9579
0.2820,-5.3030,0.9620,0.9620
0.2910,-5.3030,0.9581,0.9581
0.3000,-5.3030,0.9542,0.9542
0.3090,-5.3120,0.9540,0.9540
0.3180,-5.3120,0.9540,0.9540
0.3270,-5.3120,0.9513,0.9513
0.3360,-5.3120,0.9478,0.9478
0.3450,-5.3210,0.9450,0.9450
0.3540,-5.3210,0.9450,0.9450
0.3630,-5.3210,0.9450,0.9450
0.3720,-5.3210,0.9428,0.9428
0.3810,-5.3300,0.9360,0.9360
0.3900,-5.3300,0.9360,0.9360
0.3990,-5.3300,0.9360,0.9360
0.4080,-5.3300,0.9360,0.9360
0.4170,-5.3300,0.9360,0.9360
0.4260,-5.3300,0.9337,0.9337
0.4350,-5.3300,0.9310,0.9310
0.4440,-5.3300,0.9284,0.9284
0.4530,-5.3300,0.9260,0.9260
0.4620,-5.3300,0.9235,0.9235
0.4710,-5.3300,0.9212,0.9212
0.4800,-5.3300,0.9190,0.9190
0.4890,-5.3300,0.9168,0.9168
0.4980,-5.3300,0.9147,0.9147
0.5070,-5.3300,0.9127,0.9127
0.5160,-5.3300,0.9108,0.9108
0.5250,-5.3300,0.9090,0.9090
0.5340,-5.3300,0.9073,0.9073
0.5430,-5.3300,0.9056,0.9056
0.5520,-5.3300,0.9040,0.9040
0.5610,-5.3210,0.8937,0.8937
0.5700,-5.3210,0.8923,0.8923
0.5790,-5.3210,0.8910,0.8910
0.5880,-5.3210,0.8897,0.8897
0.5970,-5.3210,0.8886,0.8886
0.6060,-5.3210,0.8875,0.8875
0.6150,-5.3210,0.8866,0.8866
0.6240,-5.3210,0.8857,0.8857
0.6330,-5.3210,0.8849,0.8849
0.6420,-5.3210,0.8842,0.8842
0.6510,-5.3210,0.8837,0.8837
0.6600,-5.3210,0.8831,0.8831
0.6690,-5.3210,0.8827,0.8827
0.6780,-5.3210,0.8824,0.8824
0.6870,-5.3210,0.8822,0.8822
0.6960,-5.3210,0.8820,0.8820
0.7050,-5.3300,0.8910,0.8910
0.7140,-5.3300,0.8910,0.8910
0.7230,-5.3300,0.8910,0.8910
0.7320,-5.3300,0.8910,0.8910
0.7410,-5.3300,0.8910,0.8910
0.7500,-5.3300,0.8910,0.8910
0.7590,-5.3300,0.8910,0.8910
0.7680,-5.3300,0.8910,0.8910
0.7770,-5.3300,0.8910,0.8910
0.7860,-5.3300,0.8910,0.8910
0.7950,-5.3300,0.8910,0.8910
0.8040,-5.3300,0.8910,0.8910
0.8130,-5.3300,0.8910,0.8910
0.8220,-5.3300,0.8910,0.8910
0.8310,-5.3300,0.8910,0.8910
0.8400,-5.3300,0.8910,0.8910
0.8490,-5.3300,0.8910,0.8910
0.8580,-5.3300,0.8910,0.8910
0.8670,-5.3300,0.8910,0.8910
0.8760,-5.3300,0.8910,0.8910
0.8850,-5.3300,0.8910,0.8910
0.8940,-5.3300,0.8910,0.8910
0.9030,-5.3300,0.8910,0.8910
0.9120,-5.3300,0.8910,0.8910
0.9210,-5.3300,0.8910,0.8910
0.9300,-5.3300,0.8910,0.8910
0.9390,-5.3300,0.8910,0.8910
0.9480,-5.3300,0.8910,0.8910
0.9570,-5.3300,0.8910,0.8910
0.9660,-5.3300,0.8910,0.8910
0.9750,-5.3300,0.8910,0.8910
